Criticality Weight,Downtime Weight,Asset ID,Risk Score,Rank
0.5,0.5,ASSET-019,0.26262626262626,17
0.5,0.5,ASSET-021,0.261616161616159,18
0.5,0.5,ASSET-020,0.216161616161614,19
0.5,0.5,ASSET-017,0.155555555555554,20
0.5,0.5,ASSET-022,0.14242424242424098,21
0.5,0.5,ASSET-018,0.07121212121212049,22
0.5,0.5,ASSET-023,0.0,23
0.5,0.5,ASSET-024,0.0,24
0.5,0.5,ASSET-025,0.0,25
0.5,0.5,ASSET-026,0.0,26
0.5,0.5,ASSET-027,0.0,27
0.5,0.5,ASSET-028,0.0,28
0.5,0.5,ASSET-029,0.0,29
0.5,0.5,ASSET-030,0.0,30
0.5,0.5,ASSET-031,0.0,31
0.5,0.5,ASSET-032,0.0,32
0.5,0.5,ASSET-033,0.0,33
0.5,0.5,ASSET-034,0.0,34
0.5,0.5,ASSET-035,0.0,35
0.5,0.5,ASSET-036,0.0,36
0.5,0.5,ASSET-037,0.0,37
0.5,0.5,ASSET-038,0.0,38
0.5,0.5,ASSET-039,0.0,39
0.5,0.5,ASSET-040,0.0,40
0.5,0.5,ASSET-041,0.0,41
0.5,0.5,ASSET-042,0.0,42
0.5,0.5,ASSET-043,0.0,43
0.5,0.5,ASSET-044,0.0,44
0.5,0.5,ASSET-045,0.0,45
0.5,0.5,ASSET-046,0.0,46
0.5,0.5,ASSET-047,0.0,47
0.5,0.5,ASSET-048,0.0,48
0.5,0.5,ASSET-049,0.0,49
0.5,0.5,ASSET-050,0.0,50
0.5,0.5,ASSET-051,0.0,51
0.5,0.5,ASSET-052,0.0,52
0.5,0.5,ASSET-053,0.0,53
0.5,0.5,ASSET-054,0.0,54
0.5,0.5,ASSET-055,0.0,55
0.5,0.5,ASSET-056,0.0,56
0.5,0.5,ASSET-057,0.0,57
0.5,0.5,ASSET-058,0.0,58
0.5,0.5,ASSET-059,0.0,59
0.5,0.5,ASSET-060,0.0,60
0.6,0.4,ASSET-001,43.99272727272728,1
0.6,0.4,ASSET-002,40.24363636363636,2
0.6,0.4,ASSET-003,15.998383838383834,3
0.6,0.4,ASSET-004,12.413333333333332,4
0.6,0.4,ASSET-005,5.826666666666666,5
0.6,0.4,ASSET-006,4.888888888888884,6
0.6,0.4,ASSET-007,2.478787878787879,7
0.6,0.4,ASSET-008,2.3155555555555507,8
0.6,0.4,ASSET-011,1.1454545454545408,9
0.6,0.4,ASSET-009,0.7208080808080788,10
0.6,0.4,ASSET-012,0.6787878787878787,11
0.6,0.4,ASSET-013,0.6678787878787878,12
0.6,0.4,ASSET-010,0.6278787878787879,13
0.6,0.4,ASSET-015,0.5098989898989849,14
0.6,0.4,ASSET-016,0.4492929292929248,15
0.6,0.4,ASSET-014,0.3523232323232288,16
0.6,0.4,ASSET-019,0.276767676767674,17
0.6,0.4,ASSET-021,0.24929292929292682,18
0.6,0.4,ASSET-020,0.21292929292929083,19
0.6,0.4,ASSET-017,0.1644444444444428,20
0.6,0.4,ASSET-022,0.1406060606060592,21
0.6,0.4,ASSET-018,0.0703030303030296,22
0.6,0.4,ASSET-023,0.0,23
0.6,0.4,ASSET-024,0.0,24
0.6,0.4,ASSET-025,0.0,25
0.6,0.4,ASSET-026,0.0,26
0.6,0.4,ASSET-027,0.0,27
0.6,0.4,ASSET-028,0.0,28
0.6,0.4,ASSET-029,0.0,29
0.6,0.4,ASSET-030,0.0,30
0.6,0.4,ASSET-031,0.0,31
0.6,0.4,ASSET-032,0.0,32
0.6,0.4,ASSET-033,0.0,33
0.6,0.4,ASSET-034,0.0,34
0.6,0.4,ASSET-035,0.0,35
0.6,0.4,ASSET-036,0.0,36
0.6,0.4,ASSET-037,0.0,37
0.6,0.4,ASSET-038,0.0,38
0.6,0.4,ASSET-039,0.0,39
0.6,0.4,ASSET-040,0.0,40
0.6,0.4,ASSET-041,0.0,41
0.6,0.4,ASSET-042,0.0,42
0.6,0.4,ASSET-043,0.0,43
0.6,0.4,ASSET-044,0.0,44
0.6,0.4,ASSET-045,0.0,45
0.6,0.4,ASSET-046,0.0,46
0.6,0.4,ASSET-047,0.0,47
0.6,0.4,ASSET-048,0.0,48
0.6,0.4,ASSET-049,0.0,49
0.6,0.4,ASSET-050,0.0,50
0.6,0.4,ASSET-051,0.0,51
0.6,0.4,ASSET-052,0.0,52
0.6,0.4,ASSET-053,0.0,53
0.6,0.4,ASSET-054,0.0,54
0.6,0.4,ASSET-055,0.0,55
0.6,0.4,ASSET-056,0.0,56
0.6,0.4,ASSET-057,0.0,57
0.6,0.4,ASSET-058,0.0,58
0.6,0.4,ASSET-059,0.0,59
0.6,0.4,ASSET-060,0.0,60
0.8,0.2,ASSET-002,40.52181818181818,1
0.8,0.2,ASSET-001,30.76303030303031,2
0.8,0.2,ASSET-003,18.132525252525255,3
0.8,0.2,ASSET-004,11.106666666666664,4
0.8,0.2,ASSET-005,6.213333333333333,5
0.8,0.2,ASSET-006,5.777777777777772,6
0.8,0.2,ASSET-008,2.62444444444444,7
0.8,0.2,ASSET-007,1.7393939393939395,8
0.8,0.2,ASSET-011,1.0727272727272685,9
0.8,0.2,ASSET-009,0.8937373737373716,10
0.8,0.2,ASSET-012,0.8393939393939395,11
0.8,0.2,ASSET-013,0.7339393939393941,12
0.8,0.2,ASSET-015,0.5216161616161565,13
0.8,0.2,ASSET-010,0.513939393939394,14
0.8,0.2,ASSET-016,0.4913131313131265,15
0.8,0.2,ASSET-014,0.4428282828282786,16
0.8,0.2,ASSET-019,0.3050505050505021,17
0.8,0.2,ASSET-021,0.2246464646464624,18
0.8,0.2,ASSET-020,0.2064646464646444,19
0.8,0.2,ASSET-017,0.1822222222222204,20
0.8,0.2,ASSET-022,0.13696969696969563,21
0.8,0.2,ASSET-018,0.06848484848484782,22
0.8,0.2,ASSET-023,0.0,23
0.8,0.2,ASSET-024,0.0,24
0.8,0.2,ASSET-025,0.0,25
0.8,0.2,ASSET-026,0.0,26
0.8,0.2,ASSET-027,0.0,27
0.8,0.2,ASSET-028,0.0,28
0.8,0.2,ASSET-029,0.0,29
0.8,0.2,ASSET-030,0.0,30
0.8,0.2,ASSET-031,0.0,31
0.8,0.2,ASSET-032,0.0,32
0.8,0.2,ASSET-033,0.0,33
0.8,0.2,ASSET-034,0.0,34
0.8,0.2,ASSET-035,0.0,35
0.8,0.2,ASSET-036,0.0,36
0.8,0.2,ASSET-037,0.0,37
0.8,0.2,ASSET-038,0.0,38
0.8,0.2,ASSET-039,0.0,39
0.8,0.2,ASSET-040,0.0,40
0.8,0.2,ASSET-041,0.0,41
0.8,0.2,ASSET-042,0.0,42
0.8,0.2,ASSET-043,0.0,43
0.8,0.2,ASSET-044,0.0,44
0.8,0.2,ASSET-045,0.0,45
0.8,0.2,ASSET-046,0.0,46
0.8,0.2,ASSET-047,0.0,47
0.8,0.2,ASSET-048,0.0,48
0.8,0.2,ASSET-049,0.0,49
0.8,0.2,ASSET-050,0.0,50
0.8,0.2,ASSET-051,0.0,51
0.8,0.2,ASSET-052,0.0,52
0.8,0.2,ASSET-053,0.0,53
0.8,0.2,ASSET-054,0.0,54
0.8,0.2,ASSET-055,0.0,55
0.8,0.2,ASSET-056,0.0,56
0.8,0.2,ASSET-057,0.0,57
0.8,0.2,ASSET-058,0.0,58
0.8,0.2,ASSET-059,0.0,59
0.8,0.2,ASSET-060,0.0,60
