Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Type,Actual Machine Failure,Estimated Failure Probability,Preliminary Risk Band,Asset ID,Operational Criticality,Expected Downtime Hours,Maintenance Cost,Labor Hours Required,Spare Parts Available,Criticality Normalized,Downtime Normalized,Consequence Index,Maintenance Risk Score,Maintenance Risk Score 0-100,Priority Rank,Priority Category
302.7,312.2,1611,34.1,186,L,0,0.0033333333333333,Low,ASSET-017,3,26,9638,16,1,0.6,0.3333333333333333,0.4933333333333333,0.001644444444444428,0.1644444444444428,20,Low
302.0,311.0,1980,21.5,20,M,0,0.0033333333333333,Low,ASSET-022,2,34,4397,37,1,0.4,0.45454545454545453,0.4218181818181818,0.0014060606060605921,0.1406060606060592,21,Low
297.0,307.6,1680,35.8,20,L,0,0.0033333333333333,Low,ASSET-018,1,19,1916,8,1,0.2,0.22727272727272727,0.2109090909090909,0.0007030303030302961,0.0703030303030296,22,Low
298.5,310.0,1804,26.1,22,L,0,0.0,Low,ASSET-023,1,15,5233,22,1,0.2,0.16666666666666666,0.18666666666666665,0.0,0.0,23,Low
299.6,311.1,1521,37.2,131,L,0,0.0,Low,ASSET-024,5,61,7015,29,1,1.0,0.8636363636363636,0.9454545454545454,0.0,0.0,24,Low
302.3,311.7,1456,45.4,130,H,0,0.0,Low,ASSET-025,4,47,14901,20,1,0.8,0.6515151515151515,0.7406060606060606,0.0,0.0,25,Low
300.0,311.3,1520,39.2,43,L,0,0.0,Low,ASSET-026,4,52,13021,13,1,0.8,0.7272727272727273,0.770909090909091,0.0,0.0,26,Low
300.5,311.5,1490,38.4,67,L,0,0.0,Low,ASSET-027,3,10,1968,32,1,0.6,0.09090909090909091,0.39636363636363636,0.0,0.0,27,Low
299.6,309.1,1471,44.3,67,M,0,0.0,Low,ASSET-028,5,25,4658,39,1,1.0,0.3181818181818182,0.7272727272727273,0.0,0.0,28,Low
300.1,309.2,1427,37.6,73,L,0,0.0,Low,ASSET-029,3,56,12593,13,1,0.6,0.7878787878787878,0.6751515151515152,0.0,0.0,29,Low
300.3,311.1,1477,44.2,166,M,0,0.0,Low,ASSET-030,3,61,2287,32,0,0.6,0.8636363636363636,0.7054545454545454,0.0,0.0,30,Low
299.7,310.4,1614,36.2,108,L,0,0.0,Low,ASSET-031,3,34,13052,13,1,0.6,0.45454545454545453,0.5418181818181818,0.0,0.0,31,Low
303.3,312.6,1692,29.0,125,H,0,0.0,Low,ASSET-032,2,59,5298,30,1,0.4,0.8333333333333334,0.5733333333333334,0.0,0.0,32,Low
300.1,310.1,1501,39.3,195,M,0,0.0,Low,ASSET-033,1,62,13889,33,0,0.2,0.8787878787878788,0.47151515151515155,0.0,0.0,33,Low
298.3,308.6,1548,40.3,140,L,0,0.0,Low,ASSET-034,3,30,5463,20,1,0.6,0.3939393939393939,0.5175757575757576,0.0,0.0,34,Low
302.4,310.4,1463,42.2,139,M,0,0.0,Low,ASSET-035,5,65,7363,31,0,1.0,0.9242424242424242,0.9696969696969697,0.0,0.0,35,Low
301.5,311.1,1458,41.4,123,L,0,0.0,Low,ASSET-036,1,23,10436,14,1,0.2,0.2878787878787879,0.23515151515151517,0.0,0.0,36,Low
300.7,310.9,1486,38.9,106,M,0,0.0,Low,ASSET-037,5,20,3204,6,1,1.0,0.24242424242424243,0.696969696969697,0.0,0.0,37,Low
300.2,309.4,1527,37.0,194,L,0,0.0,Low,ASSET-038,5,51,9020,7,1,1.0,0.7121212121212122,0.8848484848484848,0.0,0.0,38,Low
297.8,307.4,1438,43.6,141,M,0,0.0,Low,ASSET-039,2,47,8318,20,1,0.4,0.6515151515151515,0.5006060606060606,0.0,0.0,39,Low
296.2,306.8,1389,53.3,132,L,0,0.0,Low,ASSET-040,4,13,12083,37,1,0.8,0.13636363636363635,0.5345454545454545,0.0,0.0,40,Low
302.9,311.0,1820,24.6,128,L,0,0.0,Low,ASSET-041,1,61,14948,8,0,0.2,0.8636363636363636,0.46545454545454545,0.0,0.0,41,Low
302.6,312.1,1782,26.8,198,L,0,0.0,Low,ASSET-042,4,17,10468,20,1,0.8,0.19696969696969696,0.5587878787878788,0.0,0.0,42,Low
295.6,306.2,1612,31.2,131,L,0,0.0,Low,ASSET-043,4,59,7024,30,1,0.8,0.8333333333333334,0.8133333333333334,0.0,0.0,43,Low
299.1,308.5,1592,34.2,153,M,0,0.0,Low,ASSET-044,2,4,6986,11,0,0.4,0.0,0.24,0.0,0.0,44,Low
300.9,310.4,1544,36.0,148,L,0,0.0,Low,ASSET-045,1,58,7142,30,1,0.2,0.8181818181818182,0.4472727272727273,0.0,0.0,45,Low
302.5,311.0,1563,35.6,190,M,0,0.0,Low,ASSET-046,5,58,12490,15,1,1.0,0.8181818181818182,0.9272727272727272,0.0,0.0,46,Low
299.4,310.4,1509,40.6,175,L,0,0.0,Low,ASSET-047,3,57,5836,33,1,0.6,0.803030303030303,0.6812121212121212,0.0,0.0,47,Low
299.1,308.6,1555,36.6,104,L,0,0.0,Low,ASSET-048,5,49,3754,25,1,1.0,0.6818181818181818,0.8727272727272727,0.0,0.0,48,Low
299.2,310.5,1705,29.5,95,L,0,0.0,Low,ASSET-049,4,36,6013,24,1,0.8,0.48484848484848486,0.673939393939394,0.0,0.0,49,Low
301.2,310.7,1527,41.1,53,M,0,0.0,Low,ASSET-050,4,52,1806,10,1,0.8,0.7272727272727273,0.770909090909091,0.0,0.0,50,Low
298.6,309.5,1730,30.2,41,L,0,0.0,Low,ASSET-051,4,23,2933,21,1,0.8,0.2878787878787879,0.5951515151515152,0.0,0.0,51,Low
300.8,310.2,1598,36.5,195,M,0,0.0,Low,ASSET-052,1,57,2715,35,1,0.2,0.803030303030303,0.4412121212121212,0.0,0.0,52,Low
297.3,308.1,1506,36.0,150,L,0,0.0,Low,ASSET-053,2,42,11916,4,1,0.4,0.5757575757575758,0.47030303030303033,0.0,0.0,53,Low
298.0,307.6,1281,50.8,122,L,0,0.0,Low,ASSET-054,3,35,11252,32,1,0.6,0.4696969696969697,0.5478787878787879,0.0,0.0,54,Low
304.0,313.1,1466,39.5,83,M,0,0.0,Low,ASSET-055,3,38,10907,22,1,0.6,0.5151515151515151,0.566060606060606,0.0,0.0,55,Low
304.1,313.2,1412,47.5,150,L,0,0.0,Low,ASSET-056,1,43,7735,30,0,0.2,0.5909090909090909,0.3563636363636364,0.0,0.0,56,Low
297.4,309.4,1296,52.3,96,L,0,0.0,Low,ASSET-057,3,6,11181,28,1,0.6,0.030303030303030304,0.37212121212121213,0.0,0.0,57,Low
301.6,310.1,1687,26.6,16,L,0,0.0,Low,ASSET-058,1,13,3677,19,1,0.2,0.13636363636363635,0.17454545454545453,0.0,0.0,58,Low
299.0,310.3,1577,40.0,181,L,0,0.0,Low,ASSET-059,4,20,13659,15,1,0.8,0.24242424242424243,0.5769696969696969,0.0,0.0,59,Low
301.4,310.7,1568,35.2,23,L,0,0.0,Low,ASSET-060,4,11,8264,27,1,0.8,0.10606060606060606,0.5224242424242425,0.0,0.0,60,Low
